Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration
15,12,16,16,18,12
8,4,12,11,12,4
4,6,6,15,20,12
14,7,17,11,17,18
15,5,10,16,10,7
12,1,3,11,18,4
7,8,11,8,14,3
6,5,8,10,16,12
17,6,10,7,15,18
12,3,12,10,14,9
8,2,8,7,10,12
5,11,13,10,20,3
14,10,16,11,18,17
1,5,11,9,5,13
18,21,1,21,21,21
12,5,10,7,7,1
13,15,11,14,20,5
18,13,16,4,20,8
8,14,7,4,18,15
13,14,7,9,14,13
10,21,16,10,20,5
12,12,16,20,7,12
16,10,10,13,17,4
12,9,13,14,15,12
17,19,15,8,18,11
13,2,13,17,13,16
11,3,10,2,2,11
18,21,18,16,18,15
6,2,4,9,8,3
10,15,10,11,10,16
3,17,14,20,18,2
15,18,15,9,21,15
15,15,19,11,18,19
9,11,12,12,13,11
14,10,5,18,15,17
15,4,7,9,17,6
15,19,13,10,12,14
12,15,16,6,11,17
18,6,15,10,19,2
13,9,13,12,15,11
6,5,15,14,6,3
4,8,18,16,10,17
