Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration
13,16,14,6,11,14
12,12,12,10,16,3
8,16,18,7,16,4
8,12,3,13,16,5
18,13,12,11,9,14
10,6,15,14,15,7
12,17,5,13,4,13
15,12,14,14,12,10
12,9,4,16,11,12
15,20,15,10,17,13
10,11,5,17,18,10
14,8,5,19,11,16
12,18,10,11,18,13
5,1,5,14,12,5
13,6,9,17,19,16
16,5,4,15,19,3
13,7,4,10,13,2
16,4,6,2,17,19
15,5,11,15,13,12
17,15,19,18,20,21
14,19,16,10,18,16
14,16,10,7,14,13
14,5,4,7,18,6
2,2,3,13,6,5
14,8,11,8,16,4
19,10,9,4,19,21
16,4,4,5,14,11
15,3,1,19,18,18
12,5,6,10,17,17
10,15,8,15,5,14
4,11,16,16,17,19
2,8,14,14,3,2
18,19,16,18,13,1
15,19,3,6,20,17
11,2,10,5,15,7
16,13,10,16,15,8
7,9,11,14,13,4
10,3,14,12,12,10
12,9,5,7,12,11
5,4,14,16,11,17
15,19,12,14,20,14
16,5,4,15,16,12
16,21,11,18,21,1
8,12,4,18,13,8
4,6,6,19,19,19
