#INFO,,,,,,,,,,,,
#Study name,BuzzwireStudy,,,,,,,,,,,
#Respondent Name,2C0106,Id: a1e2f834-7487-4738-b9b7-4ac4fd641361,,,,,,,,,,
#Respondent Age,0,,,,,,,,,,,
#Respondent Gender,MALE,,,,,,,,,,,
#Respondent Group,Default,,,,,,,,,,,
#iMotions version,9.0.26477.11,,,,,,,,,,,
#Current culture,en-IN English (India),File encoding: System.Text.UTF8Encoding,Date format: dd-MM-yyyy,,,,,,,,,
#Recording time,Date: 01-12-2021,Time: 15:55:45.329 +01:00,Unix time: 1638370545,,,,,,,,,
#Export time,Date: 02-12-2021,Time: 17:18:04.404 +01:00,,,,,,,,,,
#Sensor info,External Events API (v0), Source Id: , Sample Id: , Event source version: 0, Latency: 0 milliseconds,,,,,,,
#,,,,,,,,,,,,
#METADATA,,,,,,,,,,,,
#Device,,SlideEvents,SlideEvents,SlideEvents,SlideEvents,SlideEvents,SlideEvents,External Events API (v0),External Events API (v0),External Events API (v0),External Events API (v0),External Events API (v0)
#Provided By,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions
#Category,Timestamp,Event Source,Slideshow,Slideshow,Slideshow,Slideshow,Slideshow,Event Source,iMotions Event API,iMotions Event API,iMotions Event API,iMotions Event API
#Description,iMotions synchronization timestamp. Relative to data recording start,Can be used to filter data from: SlideEvents,Slide & Media events: Start/Stop,Type of stimulus,Stimulus duration fx video length,Reason slide was changed,Name of stimulus,Can be used to filter data from: External Events API (v0),,,,
#Unit,Millisecond,,,,Millisecond,,,,,,,
#Short unit,ms,,,,ms,,,,,,,
#Group,,Event Source,,,,,,Event Source,Other,Other,Other,Other
#Channel identifier,iMotions_Synchronization_Timestamp,Eventsource_Slideevents,SE_SlideEvent,SE_StimulusType,SE_Duration,SE_CollectionPhase,SE_SourceStimuliName,Eventsource_External_Events_API_(V0),Api_Markername,Api_Markerdescription,Api_Markertype,Api_Scenetype
#,,,,,,,,,,,,
#DATA,,,,,,,,,,,,
Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,MarkerName,MarkerDescription,MarkerType,SceneType
1,13.0041,1,StartSlide,TestImage,3000000,StimuliDisplay,FaceRecording-1,,,,,
2,165.9243,1,StartMedia,TestImage,3000000,StimuliDisplay,FaceRecording-1,,,,,
3,68749.1886,,,,,,FaceRecording-1,1,baseline_started,Baseline+started,D,N
4,249208.0748,,,,,,FaceRecording-1,1,baseline_over,Baseline+over,D,N
5,273518.7859,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
6,273532.736,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
7,273560.0645,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
8,273574.0243,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
9,273602.5206,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
10,273615.4869,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
11,273644.0015,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
12,273657.9624,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
13,273671.9264,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
14,273699.6136,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
15,274312.134,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
16,274340.0956,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
17,274354.059,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
18,274382.0352,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
19,274395.9985,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
20,274423.6889,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
21,274437.6525,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
22,274451.6172,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
