#INFO,,,,,,,,,,,,
#Study name,BuzzwireStudy,,,,,,,,,,,
#Respondent Name,2C0105,Id: f7922e33-d920-4ffc-87e0-53b776416b1b,,,,,,,,,,
#Respondent Age,0,,,,,,,,,,,
#Respondent Gender,MALE,,,,,,,,,,,
#Respondent Group,Default,,,,,,,,,,,
#iMotions version,9.0.26477.11,,,,,,,,,,,
#Current culture,en-IN English (India),File encoding: System.Text.UTF8Encoding,Date format: dd-MM-yyyy,,,,,,,,,
#Recording time,Date: 01-12-2021,Time: 15:12:51.239 +01:00,Unix time: 1638367971,,,,,,,,,
#Export time,Date: 02-12-2021,Time: 17:18:09.708 +01:00,,,,,,,,,,
#Sensor info,External Events API (v0), Source Id: , Sample Id: , Event source version: 0, Latency: 0 milliseconds,,,,,,,
#,,,,,,,,,,,,
#METADATA,,,,,,,,,,,,
#Device,,SlideEvents,SlideEvents,SlideEvents,SlideEvents,SlideEvents,SlideEvents,External Events API (v0),External Events API (v0),External Events API (v0),External Events API (v0),External Events API (v0)
#Provided By,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions
#Category,Timestamp,Event Source,Slideshow,Slideshow,Slideshow,Slideshow,Slideshow,Event Source,iMotions Event API,iMotions Event API,iMotions Event API,iMotions Event API
#Description,iMotions synchronization timestamp. Relative to data recording start,Can be used to filter data from: SlideEvents,Slide & Media events: Start/Stop,Type of stimulus,Stimulus duration fx video length,Reason slide was changed,Name of stimulus,Can be used to filter data from: External Events API (v0),,,,
#Unit,Millisecond,,,,Millisecond,,,,,,,
#Short unit,ms,,,,ms,,,,,,,
#Group,,Event Source,,,,,,Event Source,Other,Other,Other,Other
#Channel identifier,iMotions_Synchronization_Timestamp,Eventsource_Slideevents,SE_SlideEvent,SE_StimulusType,SE_Duration,SE_CollectionPhase,SE_SourceStimuliName,Eventsource_External_Events_API_(V0),Api_Markername,Api_Markerdescription,Api_Markertype,Api_Scenetype
#,,,,,,,,,,,,
#DATA,,,,,,,,,,,,
Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,MarkerName,MarkerDescription,MarkerType,SceneType
1,15.924,1,StartSlide,TestImage,3000000,StimuliDisplay,FaceRecording-1,,,,,
2,103.5381,1,StartMedia,TestImage,3000000,StimuliDisplay,FaceRecording-1,,,,,
3,36979.5072,,,,,,FaceRecording-1,1,baseline_started,Baseline+started,D,N
4,217700.8985,,,,,,FaceRecording-1,1,baseline_over,Baseline+over,D,N
5,243979.3924,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
6,243996.5685,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
7,244014.3363,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
8,244032.0031,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
9,244056.745,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
10,244073.8161,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
11,244091.0261,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
12,244117.0711,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
13,244133.8188,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
14,244150.7846,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
15,244176.6661,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
16,244193.6204,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
17,244417.9436,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
18,244434.7959,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
19,244451.5386,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
20,244477.8996,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
21,244495.3695,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
22,244512.2876,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
