#INFO,,,,,,,,,,,,
#Study name,BuzzwireStudy,,,,,,,,,,,
#Respondent Name,2C0103,Id: 99e7eb5e-07fb-420f-8ff2-5ca204d93b5c,,,,,,,,,,
#Respondent Age,0,,,,,,,,,,,
#Respondent Gender,MALE,,,,,,,,,,,
#Respondent Group,Default,,,,,,,,,,,
#iMotions version,9.0.26477.11,,,,,,,,,,,
#Current culture,en-IN English (India),File encoding: System.Text.UTF8Encoding,Date format: dd-MM-yyyy,,,,,,,,,
#Recording time,Date: 01-12-2021,Time: 12:26:41.486 +01:00,Unix time: 1638358001,,,,,,,,,
#Export time,Date: 02-12-2021,Time: 17:18:21.911 +01:00,,,,,,,,,,
#Sensor info,External Events API (v0), Source Id: , Sample Id: , Event source version: 0, Latency: 0 milliseconds,,,,,,,
#,,,,,,,,,,,,
#METADATA,,,,,,,,,,,,
#Device,,SlideEvents,SlideEvents,SlideEvents,SlideEvents,SlideEvents,SlideEvents,External Events API (v0),External Events API (v0),External Events API (v0),External Events API (v0),External Events API (v0)
#Provided By,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions
#Category,Timestamp,Event Source,Slideshow,Slideshow,Slideshow,Slideshow,Slideshow,Event Source,iMotions Event API,iMotions Event API,iMotions Event API,iMotions Event API
#Description,iMotions synchronization timestamp. Relative to data recording start,Can be used to filter data from: SlideEvents,Slide & Media events: Start/Stop,Type of stimulus,Stimulus duration fx video length,Reason slide was changed,Name of stimulus,Can be used to filter data from: External Events API (v0),,,,
#Unit,Millisecond,,,,Millisecond,,,,,,,
#Short unit,ms,,,,ms,,,,,,,
#Group,,Event Source,,,,,,Event Source,Other,Other,Other,Other
#Channel identifier,iMotions_Synchronization_Timestamp,Eventsource_Slideevents,SE_SlideEvent,SE_StimulusType,SE_Duration,SE_CollectionPhase,SE_SourceStimuliName,Eventsource_External_Events_API_(V0),Api_Markername,Api_Markerdescription,Api_Markertype,Api_Scenetype
#,,,,,,,,,,,,
#DATA,,,,,,,,,,,,
Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,MarkerName,MarkerDescription,MarkerType,SceneType
1,15.9573,1,StartSlide,TestImage,3000000,StimuliDisplay,FaceRecording-1,,,,,
2,120.8685,1,StartMedia,TestImage,3000000,StimuliDisplay,FaceRecording-1,,,,,
3,102706.591,,,,,,FaceRecording-1,1,baseline_started,Baseline+started,D,N
4,283454.0189,,,,,,FaceRecording-1,1,baseline_over,Baseline+over,D,N
5,288631.5543,,,,,,FaceRecording-1,1,baseline_started,Baseline+started,D,N
6,469488.6081,,,,,,FaceRecording-1,1,baseline_over,Baseline+over,D,N
7,497588.8523,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
8,497605.3348,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
9,497631.4984,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
10,497648.5071,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
11,497666.2234,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
12,497691.7981,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
13,497708.226,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
14,497725.954,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
15,497751.6053,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
16,497769.5582,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
17,497786.5129,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
18,497812.4432,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
19,497829.4393,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
20,497848.1495,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
21,497873.7485,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
22,498845.7769,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
23,498871.7422,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
24,498888.5694,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
25,498906.7384,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
26,498933.8268,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
27,498951.4041,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
28,498968.0331,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
29,498985.688,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
30,499011.4707,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
31,499028.7617,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
32,499045.8479,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
33,499072.0304,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
34,499088.7682,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
35,499105.829,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
36,499131.8965,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
37,499148.7667,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
38,499166.117,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
39,499191.7193,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
40,499208.1109,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
41,499226.0264,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
42,499251.7045,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
43,499268.6778,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
44,499286.1344,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
45,499312.512,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
46,499328.9652,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
47,499345.2833,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
48,499371.4018,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
49,499388.0801,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
50,499405.7183,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
51,499431.4988,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
52,499449.1058,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
53,499467.039,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
54,499492.3173,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
55,499511.0091,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
56,499527.4212,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
57,499553.8031,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
58,499571.8093,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
59,499589.6618,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
60,499606.6689,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
61,499632.608,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
62,499649.864,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
63,499666.5677,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
64,499691.7247,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
65,499708.6664,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
66,499725.8461,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
67,499750.7789,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
68,499768.6214,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
69,499785.9769,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
70,499811.3255,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
71,499829.3133,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
72,499845.9433,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
73,499871.7278,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
74,499889.8413,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
75,499906.8062,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
76,499932.7425,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
77,499949.6539,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
78,499966.6596,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
79,499992.5357,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
80,500009.545,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
81,500027.37,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
82,500053.0191,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
83,500070.008,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
84,500087.5999,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
85,500112.8435,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
86,500130.0582,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
87,500146.8812,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
88,500172.8671,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
89,500189.707,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
90,500207.9351,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
91,500225.9328,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
92,500252.4263,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
93,500269.4197,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
94,500286.3779,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
95,500312.1109,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
96,500328.8573,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
97,500346.2048,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
98,500371.9444,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
99,500388.9419,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
100,500405.7004,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
101,500431.7021,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
102,500448.8629,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
103,500465.028,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
104,500490.782,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
105,500507.7702,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
106,500533.667,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
107,500550.6215,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
108,500568.0661,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
109,500592.9993,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
110,500610.0026,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
111,500627.9837,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
112,500645.9068,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
113,500672.5334,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
114,500689.5216,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
115,500707.5522,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
116,500733.9768,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
117,500752.665,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
118,500768.407,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
119,500786.0494,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
120,500812.1457,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
121,500829.1905,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
122,500845.7037,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
123,500871.504,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
124,500889.0222,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
125,500906.9129,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
126,500931.7909,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
127,500948.2408,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
128,500966.2284,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
129,500992.1392,,,,,,FaceRecording-1,1,LeftSwitchPressed,Left+Switch+Pressed,D,N
