#INFO,,,,,,,,,,,,
#Study name,BuzzwireStudy,,,,,,,,,,,
#Respondent Name,2C0102,Id: 03726d61-d5c1-4d61-bf41-8fb5694a4768,,,,,,,,,,
#Respondent Age,0,,,,,,,,,,,
#Respondent Gender,MALE,,,,,,,,,,,
#Respondent Group,Default,,,,,,,,,,,
#iMotions version,9.0.26477.11,,,,,,,,,,,
#Current culture,en-IN English (India),File encoding: System.Text.UTF8Encoding,Date format: dd-MM-yyyy,,,,,,,,,
#Recording time,Date: 01-12-2021,Time: 11:08:19.357 +01:00,Unix time: 1638353299,,,,,,,,,
#Export time,Date: 02-12-2021,Time: 17:18:28.100 +01:00,,,,,,,,,,
#Sensor info,External Events API (v0), Source Id: , Sample Id: , Event source version: 0, Latency: 0 milliseconds,,,,,,,
#,,,,,,,,,,,,
#METADATA,,,,,,,,,,,,
#Device,,SlideEvents,SlideEvents,SlideEvents,SlideEvents,SlideEvents,SlideEvents,External Events API (v0),External Events API (v0),External Events API (v0),External Events API (v0),External Events API (v0)
#Provided By,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions
#Category,Timestamp,Event Source,Slideshow,Slideshow,Slideshow,Slideshow,Slideshow,Event Source,iMotions Event API,iMotions Event API,iMotions Event API,iMotions Event API
#Description,iMotions synchronization timestamp. Relative to data recording start,Can be used to filter data from: SlideEvents,Slide & Media events: Start/Stop,Type of stimulus,Stimulus duration fx video length,Reason slide was changed,Name of stimulus,Can be used to filter data from: External Events API (v0),,,,
#Unit,Millisecond,,,,Millisecond,,,,,,,
#Short unit,ms,,,,ms,,,,,,,
#Group,,Event Source,,,,,,Event Source,Other,Other,Other,Other
#Channel identifier,iMotions_Synchronization_Timestamp,Eventsource_Slideevents,SE_SlideEvent,SE_StimulusType,SE_Duration,SE_CollectionPhase,SE_SourceStimuliName,Eventsource_External_Events_API_(V0),Api_Markername,Api_Markerdescription,Api_Markertype,Api_Scenetype
#,,,,,,,,,,,,
#DATA,,,,,,,,,,,,
Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,MarkerName,MarkerDescription,MarkerType,SceneType
1,14.9604,1,StartSlide,TestImage,3000000,StimuliDisplay,FaceRecording-1,,,,,
2,118.6385,1,StartMedia,TestImage,3000000,StimuliDisplay,FaceRecording-1,,,,,
3,31694.3009,,,,,,FaceRecording-1,1,baseline_started,Baseline+started,D,N
4,212178.2583,,,,,,FaceRecording-1,1,baseline_over,Baseline+over,D,N
5,239356.4757,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
6,239373.9782,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
7,239399.0102,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
8,239417.4824,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
9,239434.6585,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
10,239460.3465,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
11,239476.9693,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
12,239494.8793,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
13,239520.5573,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
14,239537.1483,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
15,239554.2515,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
16,239579.5052,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
17,239596.1383,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
18,239613.785,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
19,239760.6206,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
20,239777.9215,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
21,239794.759,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
22,239820.3608,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
