#INFO,,,,,,,,,,,,
#Study name,BuzzwireStudy,,,,,,,,,,,
#Respondent Name,2C0101,Id: 43b91f98-a67c-4c10-baab-305e29eb7b61,,,,,,,,,,
#Respondent Age,0,,,,,,,,,,,
#Respondent Gender,MALE,,,,,,,,,,,
#Respondent Group,Default,,,,,,,,,,,
#iMotions version,9.0.26477.11,,,,,,,,,,,
#Current culture,en-IN English (India),File encoding: System.Text.UTF8Encoding,Date format: dd-MM-yyyy,,,,,,,,,
#Recording time,Date: 01-12-2021,Time: 09:38:46.868 +01:00,Unix time: 1638347926,,,,,,,,,
#Export time,Date: 02-12-2021,Time: 17:18:34.216 +01:00,,,,,,,,,,
#Sensor info,External Events API (v0), Source Id: , Sample Id: , Event source version: 0, Latency: 0 milliseconds,,,,,,,
#,,,,,,,,,,,,
#METADATA,,,,,,,,,,,,
#Device,,SlideEvents,SlideEvents,SlideEvents,SlideEvents,SlideEvents,SlideEvents,External Events API (v0),External Events API (v0),External Events API (v0),External Events API (v0),External Events API (v0)
#Provided By,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions
#Category,Timestamp,Event Source,Slideshow,Slideshow,Slideshow,Slideshow,Slideshow,Event Source,iMotions Event API,iMotions Event API,iMotions Event API,iMotions Event API
#Description,iMotions synchronization timestamp. Relative to data recording start,Can be used to filter data from: SlideEvents,Slide & Media events: Start/Stop,Type of stimulus,Stimulus duration fx video length,Reason slide was changed,Name of stimulus,Can be used to filter data from: External Events API (v0),,,,
#Unit,Millisecond,,,,Millisecond,,,,,,,
#Short unit,ms,,,,ms,,,,,,,
#Group,,Event Source,,,,,,Event Source,Other,Other,Other,Other
#Channel identifier,iMotions_Synchronization_Timestamp,Eventsource_Slideevents,SE_SlideEvent,SE_StimulusType,SE_Duration,SE_CollectionPhase,SE_SourceStimuliName,Eventsource_External_Events_API_(V0),Api_Markername,Api_Markerdescription,Api_Markertype,Api_Scenetype
#,,,,,,,,,,,,
#DATA,,,,,,,,,,,,
Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,MarkerName,MarkerDescription,MarkerType,SceneType
1,41.8868,1,StartSlide,TestImage,3000000,StimuliDisplay,FaceRecording-1,,,,,
2,218.4254,1,StartMedia,TestImage,3000000,StimuliDisplay,FaceRecording-1,,,,,
3,30201.2763,,,,,,FaceRecording-1,1,baseline_started,Baseline+started,D,N
4,210698.7093,,,,,,FaceRecording-1,1,baseline_over,Baseline+over,D,N
5,235449.7091,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
6,235467.6424,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
7,235484.5641,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
8,235510.543,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
9,235527.496,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
10,235544.4649,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
11,235570.4022,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
12,235587.4013,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
13,235604.3579,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
14,235630.2774,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
15,235648.1916,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
16,235665.1447,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
17,235690.6666,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
18,235707.6098,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
19,235725.5606,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
20,235751.5402,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
21,235769.4481,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
22,235787.4545,,,,,,FaceRecording-1,1,BuzzWireHit,Buzz+wire+was+hit,D,N
