,index,Timestamp,Heart rate,R-R interval,MarkerName,GSR Conductance CAL
227,20109,243525.1867,,,LeftSwitchPressed,
228,20110,243805.3002,86.0,663.0,,
229,20111,244795.9358,87.0,724.0,,
230,20112,245786.0189,87.0,743.0,,
231,20113,246720.9957,,,,2.408058608
232,20114,246728.8082,,,,2.406593407
233,20115,246736.6207,,,,2.408058608
234,20116,246744.4332,,,,2.406593407
235,20117,246752.2457,,,,2.408058608
236,20118,246760.0582,,,,2.408058608
237,20119,246767.8707,,,,2.408058608
238,20120,246775.6832,,,,2.40952381
239,20121,246776.1669,87.0,808.0,,
240,20122,246783.4957,,,,2.40952381
241,20123,246791.3082,,,,2.408058608
242,20124,246799.1207,,,,2.406593407
243,20125,246806.9332,,,,2.408058608
244,20126,246814.7457,,,,2.40952381
245,20127,246822.5582,,,,2.408058608
246,20128,246830.3707,,,,2.408058608
247,20129,246838.1832,,,,2.408058608
248,20130,246845.9957,,,,2.40952381
249,20131,246853.8082,,,,2.410989011
250,20132,246861.6207,,,,2.410989011
251,20133,246869.4332,,,,2.413919414
252,20134,246877.2457,,,,2.412454212
253,20135,246885.0582,,,,2.413919414
254,20136,246892.8707,,,,2.413919414
255,20137,246900.6832,,,,2.412454212
256,20138,246908.4957,,,,2.415384615
257,20139,246916.3082,,,,2.413919414
258,20140,246924.1207,,,,2.418315018
259,20141,246931.9332,,,,2.416849817
260,20142,246939.7457,,,,2.418315018
261,20143,246947.5582,,,,2.416849817
262,20144,246955.3707,,,,2.418315018
263,20145,246963.1832,,,,2.416849817
264,20146,246970.9957,,,,2.418315018
265,20147,246978.8082,,,,2.418315018
266,20148,246986.6207,,,,2.418315018
267,20149,246994.4332,,,,2.41978022
268,20150,247002.2457,,,,2.421245421
269,20151,247010.0582,,,,2.41978022
270,20152,247017.8707,,,,2.41978022
271,20153,247025.6832,,,,2.41978022
272,20154,247033.4957,,,,2.41978022
273,20155,247041.3082,,,,2.41978022
274,20156,247049.1207,,,,2.41978022
275,20157,247056.9332,,,,2.421245421
276,20158,247064.7457,,,,2.421245421
277,20159,247072.5582,,,,2.421245421
278,20160,247080.3707,,,,2.422710623
279,20161,247088.1832,,,,2.421245421
280,20162,247095.9957,,,,2.421245421
281,20163,247103.8082,,,,2.421245421
282,20164,247111.6207,,,,2.421245421
283,20165,247119.4332,,,,2.421245421
284,20166,247127.2457,,,,2.424175824
285,20167,247135.0582,,,,2.422710623
286,20168,247142.8707,,,,2.422710623
287,20169,247150.6832,,,,2.422710623
